chip x0 y0 channel x y
0 66.97 66.97 16 86.325 86.325
0 66.97 66.97 10 86.325 80.795
0 66.97 66.97 9 86.325 75.265
0 66.97 66.97 21 86.325 69.735
0 66.97 66.97 6 86.325 64.205
0 66.97 66.97 2 86.325 58.675
0 66.97 66.97 1 86.325 53.145
0 66.97 66.97 0 86.325 47.615
0 66.97 66.97 7 80.795 86.325
0 66.97 66.97 22 80.795 80.795
0 66.97 66.97 3 80.795 75.265
0 66.97 66.97 12 80.795 69.735
0 66.97 66.97 5 80.795 64.205
0 66.97 66.97 8 80.795 58.675
0 66.97 66.97 24 80.795 53.145
0 66.97 66.97 14 80.795 47.615
0 66.97 66.97 19 75.265 86.325
0 66.97 66.97 13 75.265 80.795
0 66.97 66.97 15 75.265 75.265
0 66.97 66.97 18 75.265 69.735
0 66.97 66.97 4 75.265 64.205
0 66.97 66.97 11 75.265 58.675
0 66.97 66.97 17 75.265 53.145
0 66.97 66.97 26 75.265 47.615
0 66.97 66.97 25 69.735 86.325
0 66.97 66.97 28 69.735 80.795
0 66.97 66.97 27 69.735 75.265
0 66.97 66.97 30 69.735 69.735
0 66.97 66.97 20 69.735 64.205
0 66.97 66.97 23 69.735 58.675
0 66.97 66.97 29 69.735 53.145
0 66.97 66.97 34 69.735 47.615
0 66.97 66.97 31 64.205 86.325
0 66.97 66.97 32 64.205 80.795
0 66.97 66.97 33 64.205 75.265
0 66.97 66.97 36 64.205 69.735
0 66.97 66.97 40 64.205 64.205
0 66.97 66.97 37 64.205 58.675
0 66.97 66.97 43 64.205 53.145
0 66.97 66.97 46 64.205 47.615
0 66.97 66.97 35 58.675 86.325
0 66.97 66.97 41 58.675 80.795
0 66.97 66.97 45 58.675 75.265
0 66.97 66.97 48 58.675 69.735
0 66.97 66.97 42 58.675 64.205
0 66.97 66.97 49 58.675 58.675
0 66.97 66.97 52 58.675 53.145
0 66.97 66.97 59 58.675 47.615
0 66.97 66.97 38 53.145 86.325
0 66.97 66.97 44 53.145 80.795
0 66.97 66.97 50 53.145 75.265
0 66.97 66.97 54 53.145 69.735
0 66.97 66.97 58 53.145 64.205
0 66.97 66.97 63 53.145 58.675
0 66.97 66.97 55 53.145 53.145
0 66.97 66.97 62 53.145 47.615
0 66.97 66.97 47 47.615 86.325
0 66.97 66.97 53 47.615 80.795
0 66.97 66.97 60 47.615 75.265
0 66.97 66.97 39 47.615 69.735
0 66.97 66.97 56 47.615 64.205
0 66.97 66.97 57 47.615 58.675
0 66.97 66.97 51 47.615 53.145
0 66.97 66.97 61 47.615 47.615
1 66.97 22.73 61 86.325 42.085
1 66.97 22.73 51 86.325 36.555
1 66.97 22.73 57 86.325 31.025
1 66.97 22.73 56 86.325 25.495
1 66.97 22.73 39 86.325 19.965
1 66.97 22.73 60 86.325 14.435
1 66.97 22.73 53 86.325 8.905
1 66.97 22.73 47 86.325 3.375
1 66.97 22.73 62 80.795 42.085
1 66.97 22.73 55 80.795 36.555
1 66.97 22.73 63 80.795 31.025
1 66.97 22.73 58 80.795 25.495
1 66.97 22.73 54 80.795 19.965
1 66.97 22.73 50 80.795 14.435
1 66.97 22.73 44 80.795 8.905
1 66.97 22.73 38 80.795 3.375
1 66.97 22.73 59 75.265 42.085
1 66.97 22.73 52 75.265 36.555
1 66.97 22.73 49 75.265 31.025
1 66.97 22.73 42 75.265 25.495
1 66.97 22.73 48 75.265 19.965
1 66.97 22.73 45 75.265 14.435
