chip x0 y0 channel x y
0 -86.325 -86.325 0 75.265 69.735
0 -86.325 -86.325 1 80.795 64.205
0 -86.325 -86.325 2 69.735 69.735
0 -86.325 -86.325 3 86.325 53.145
0 -86.325 -86.325 4 86.325 58.675
0 -86.325 -86.325 5 80.795 69.735
0 -86.325 -86.325 6 75.265 75.265
0 -86.325 -86.325 7 86.325 64.205
0 -86.325 -86.325 8 80.795 75.265
0 -86.325 -86.325 9 86.325 69.735
0 -86.325 -86.325 10 86.325 75.265
0 -86.325 -86.325 11 75.265 80.795
0 -86.325 -86.325 12 80.795 80.795
0 -86.325 -86.325 13 86.325 80.795
0 -86.325 -86.325 14 86.325 86.325
0 -86.325 -86.325 15 80.795 86.325
0 -86.325 -86.325 16 75.265 86.325
0 -86.325 -86.325 17 69.735 80.795
0 -86.325 -86.325 18 69.735 86.325
0 -86.325 -86.325 19 69.735 75.265
0 -86.325 -86.325 20 80.795 58.675
0 -86.325 -86.325 21 75.265 64.205
0 -86.325 -86.325 22 86.325 47.615
0 -86.325 -86.325 23 69.735 64.205
0 -86.325 -86.325 24 75.265 58.675
0 -86.325 -86.325 25 64.205 80.795
0 -86.325 -86.325 26 64.205 86.325
0 -86.325 -86.325 27 64.205 75.265
0 -86.325 -86.325 28 64.205 69.735
0 -86.325 -86.325 29 64.205 64.205
0 -86.325 -86.325 30 80.795 53.145
0 -86.325 -86.325 31 80.795 47.615
0 -86.325 -86.325 32 58.675 86.325
0 -86.325 -86.325 33 75.265 53.145
0 -86.325 -86.325 34 69.735 58.675
0 -86.325 -86.325 35 64.205 58.675
0 -86.325 -86.325 36 58.675 80.795
0 -86.325 -86.325 37 75.265 47.615
0 -86.325 -86.325 38 69.735 53.145
0 -86.325 -86.325 39 58.675 75.265
0 -86.325 -86.325 40 58.675 69.735
0 -86.325 -86.325 41 58.675 64.205
0 -86.325 -86.325 42 58.675 58.675
0 -86.325 -86.325 43 69.735 47.615
0 -86.325 -86.325 44 64.205 53.145
0 -86.325 -86.325 45 53.145 80.795
0 -86.325 -86.325 46 64.205 47.615
0 -86.325 -86.325 47 47.615 86.325
0 -86.325 -86.325 48 53.145 86.325
0 -86.325 -86.325 49 47.615 53.145
0 -86.325 -86.325 50 58.675 53.145
0 -86.325 -86.325 51 47.615 80.795
0 -86.325 -86.325 52 58.675 47.615
0 -86.325 -86.325 53 47.615 58.675
0 -86.325 -86.325 54 53.145 69.735
0 -86.325 -86.325 55 47.615 64.205
0 -86.325 -86.325 56 53.145 75.265
0 -86.325 -86.325 57 47.615 69.735
0 -86.325 -86.325 58 53.145 64.205
0 -86.325 -86.325 59 47.615 75.265
0 -86.325 -86.325 60 53.145 58.675
0 -86.325 -86.325 61 47.615 47.615
0 -86.325 -86.325 62 53.145 53.145
0 -86.325 -86.325 63 53.145 47.615
1 -86.325 -42.085 0 53.145 36.555
1 -86.325 -42.085 1 53.145 42.085
1 -86.325 -42.085 2 53.145 31.025
1 -86.325 -42.085 3 47.615 42.085
1 -86.325 -42.085 4 53.145 25.495
1 -86.325 -42.085 5 47.615 14.435
1 -86.325 -42.085 6 47.615 19.965
1 -86.325 -42.085 7 53.145 14.435
1 -86.325 -42.085 8 47.615 25.495
1 -86.325 -42.085 9 53.145 19.965
1 -86.325 -42.085 10 47.615 31.025
1 -86.325 -42.085 11 58.675 42.085
1 -86.325 -42.085 12 47.615 8.905
1 -86.325 -42.085 13 58.675 36.555
1 -86.325 -42.085 14 47.615 36.555
1 -86.325 -42.085 15 53.145 3.375
1 -86.325 -42.085 16 47.615 3.375
1 -86.325 -42.085 17 64.205 42.085
1 -86.325 -42.085 18 53.145 8.905
1 -86.325 -42.085 19 69.735 42.085
1 -86.325 -42.085 20 64.205 36.555
1 -86.325 -42.085 21 58.675 25.495
1 -86.325 -42.085 22 58.675 31.025
1 -86.325 -42.085 23 58.675 14.435
1 -86.325 -42.085 24 58.675 19.965
1 -86.325 -42.085 25 75.265 42.085
1 -86.325 -42.085 26 69.735 36.555
1 -86.325 -42.085 27 64.205 31.025
1 -86.325 -42.085 28 58.675 8.905
1 -86.325 -42.085 29 75.265 36.555
1 -86.325 -42.085 30 80.795 36.555
1 -86.325 -42.085 31 80.795 42.085
1 -86.325 -42.085 32 69.735 31.025
1 -86.325 -42.085 33 64.205 25.495
1 -86.325 -42.085 34 58.675 3.375
1 -86.325 -42.085 35 64.205 14.435
1 -86.325 -42.085 36 64.205 19.965
1 -86.325 -42.085 37 64.205 8.905
1 -86.325 -42.085 38 64.205 3.375
1 -86.325 -42.085 39 69.735 25.495
1 -86.325 -42.085 40 75.265 31.025
1 -86.325 -42.085 41 75.265 25.495
1 -86.325 -42.085 42 86.325 42.085
1 -86.325 -42.085 43 69.735 14.435
1 -86.325 -42.085 44 80.795 31.025
1 -86.325 -42.085 45 69.735 3.375
1 -86.325 -42.085 46 69.735 8.905
1 -86.325 -42.085 47 75.265 3.375
1 -86.325 -42.085 48 80.795 3.375
1 -86.325 -42.085 49 86.325 3.375
1 -86.325 -42.085 50 86.325 8.905
1 -86.325 -42.085 51 80.795 8.905
1 -86.325 -42.085 52 75.265 8.905
1 -86.325 -42.085 53 86.325 14.435
1 -86.325 -42.085 54 86.325 19.965
1 -86.325 -42.085 55 80.795 14.435
1 -86.325 -42.085 56 86.325 25.495
1 -86.325 -42.085 57 80.795 19.965
1 -86.325 -42.085 58 86.325 31.025
1 -86.325 -42.085 59 75.265 14.435
1 -86.325 -42.085 60 75.265 19.965
1 -86.325 -42.085 61 86.325 36.555
1 -86.325 -42.085 62 69.735 19.965
1 -86.325 -42.085 63 80.795 25.495
2 -42.085 -86.325 0 36.555 47.615
2 -42.085 -86.325 1 36.555 53.145
2 -42.085 -86.325 2 36.555 58.675
2 -42.085 -86.325 3 36.555 64.205
2 -42.085 -86.325 4 36.555 69.735
